id,adresa,prum_cena
7806,"Škrobárenská 502/1, 617 00 Brno",98.0
4476,"Údolní 37, 602 00 Brno",68.15625
7544,"Masarykova 32, 602 00 Brno",99.0
4039,"Rokytova 4259/1, 615 00 Brno",nan
7308,"Křtiny 1, 679 05 Křtiny",87.82352941176471
3733,"Černopolní 10, 613 00 Brno",nan
7234,"Údolní 5, 602 00 Brno",49.399999999999999
3699,"U hřiště 737, 664 42 Modřice",79.75
7126,"Běhounská 16, 602 00 Brno",59.0
6996,"Merhautova 110, 613 00 Brno",90.0
147,"Mojmírovo náměstí 13, 612 00 Brno",84.0
3446,"Nálepkova 2, 637 00 Brno",nan
6857,"Štefánikova 16, 602 00 Brno",73.75
303,"Jugoslávská 18, 613 00 Brno",nan
6835,"Nad Pisárkami 1, 623 00 Brno",190.0
321,"Solniční 15/17, 602 00 Brno",nan
6762,"Netroufalky 7, 625 00 Brno",120.27777777777777
6717,"Běhounská 4, 602 00 Brno",20.555555555555557
6074,"Sukova 2, 602 00 Brno",104.625
340,"Solniční 8, 602 00 Brno",nan
6680,"Údolní 76, 602 00 Brno",nan
5076,"Neužilova 35, 625 00 Brno",nan
6598,"Purkyňova 80, 612 00 Brno",68.333333333333329
6532,"Slovákova 10, 602 00 Brno",nan
249,"Pekařská 80, 602 00 Brno",106.33333333333333
1225,"Palackého tř. 77, 612 00 Brno",135.0
317,"Palackého třída 148, 612 00 Brno",105.5
2725,"Provazníkova 40, 613 00 Brno",125.0
6421,"Hybešova 30/Vodní 20, 602 00 Brno",nan
6348,"Palackého náměstí 79/9, 621 00 Brno",109.0
6311,"Jihlavská 46, 664 41 Troubsko",110.28571428571429
6285,"Řeznická 1, 602 00 Brno",103.33333333333333
122,"Kounicova 53, 602 00 Brno",121.75
4740,"Pražská 2a, 669 02 Znojmo",69.0
6011,"Sokolská 18, 669 02 Znojmo",167.14285714285714
1897,"Fanderlíkova 19, 616 00 Brno",10.0
5865,",  ",nan
5791,"Starobrněnská 7, 602 00 Brno",139.0
2301,"Pálavské náměstí 2a, 628 00 Brno",74.454545454545453
252,"Jakubská 9, 602 00 Brno",82.25
4506,"Jakubské náměstí 1/109, 602 00 Brno",nan
4646,"Veveří 10, 602 00 Brno",95.0
3962,"Jezuitská 6, 602 00 Brno",995.0
4156,"Zemědělská 30, 613 00 Brno",nan
4205,",  ",86.0
5144,"Zemědělská 55, 613 00 Brno",86.375
70,"Bratislavská 12, 602 00 Brno",92.900000000000006
10552,"Palackého tř. 47, 612 00 Brno",132.0
6141,"Křížkovského 416/22, 603 00 Brno",nan
10386,"Příkop 4, 602 00 Brno",98.75
8558,"Veletržní 13, 603 00 Brno",127.5
10012,"Komenského 71, 679 71 Lysice",nan
6896,"Lechovice 60, 671 63 Lechovice",85.0
7770,"Biskupská 6, 602 00 Brno",92.80952380952381
10044,"Dřevařská 24, 602 00 Brno",81.666666666666671
10000,"Úvoz 39, 602 00 Brno",75.0
9930,"Dlouhá 1, 625 00 Brno",175.66666666666666
9730,"Mariánské údolí 3, 628 00 Brno",nan
9772,"Klobásova 34, 625 00 Brno",nan
6463,"Třída kpt. Jaroše 20, 602 00 Brno",nan
6907,"Rybnická 75, 634 00 Brno",nan
9742,"Branišovice 167, 671 77 Branišovice",80.0
9734,"Dvořákova 6/8, 602 00 Brno",133.33333333333334
6827,"Fillova 14, 638 00 Brno",99.0
8938,"Sokolova 60, 619 00 Brno",nan
9596,"Běhounská 7, 602 00 Brno",nan
5579,"Vodařská 2, 619 00 Brno",111.0
9560,"Merhautova 93, 613 00 Brno",78.0
9398,"Náměstí Svobody 21, 602 00 Brno",nan
4480,"Vážného 21, Řečkovice, 621 00 Brno",118.64705882352941
9302,"Těšany 964/13, 664 54 Těšany",158.0
8968,"Masarykova 441, 691 46 Ladná",97.25
6369,"Jírova 2, 628 00 Brno",159.0
3822,"Malinovského nám. 2, 602 00 Brno",nan
4923,"Bašty 2, 602 00 Brno",nan
9074,"Za divadlem 586/2, 602 00 Brno",93.0
4857,"Tomáškova 2, 615 00 Brno",nan
207,"Srbská 4, 612 00 Brno",nan
6055,"Benešova 18 - 20, 657 83 Brno",nan
6257,"Vídeňská 127, 619 00 Brno",87.222222222222229
929,"Údolní 33, 602 00 Brno",194.5
8762,"Trnitá 9, 602 00 Brno",99.0
5584,"Štefánikova 25, 612 00 Brno",89.0
4521,"Orlí 22, 602 00 Brno",nan
285,"Milady Horákové 1a, 602 00 Brno",83.333333333333329
336,"Tř. Kapt. Jaroše 7, 602 00 Brno",78.200000000000003
3967,"Kopečná 46, 602 00 Brno",66.840000000000003
8530,"Rooseveltova 14, 602 00 Brno",87.0
8212,"Purkyňova 35d, 612 00 Brno",59.842105263157897
5793,"Česká 142/29, 602 00 Brno",27.5
4088,"Purkyňova 35g, 612 00 Brno",129.0
8020,"Údolní 4, 602 00 Brno",nan
8004,"Štefánikova 26, 602 00 Brno",77.272727272727266
709,"Údolní 15, 602 00 Brno",43.111111111111114
7760,"Příkop 4, 9.patro, 602 00 Brno",nan
2554,"Tilhonova 2, 627 00 Brno",90.299999999999997
5729,"Vídeňská 55, 639 00 Brno",81.0
7514,"Josefská 25, 602 00 Brno",130.45454545454547
5033,"Veveří 6, 602 00 Brno",92.333333333333329
7548,"Böhmova 13, 621 00 Brno",99.0
3969,"Veveří 34, 602 00 Brno",95.0
7470,"Příkop 6, 602 00 Brno",81.083333333333329
7452,"Hrnčiřská 23, 602 00 Brno",70.857142857142861
7364,"Břeclavská 21, 619 00 Brno",nan
4986,"Tyršova 480, 664 34 Kuřim",79.0
7156,"Ve Vaňkovce 1, 602 00 Brno",30.0
7220,"Pekařská 80, 602 00 Brno",115.0
257,"Havlíčkovo náměstí 3, 679 06 Jedovnice",71.666666666666671
6948,"Pekařská 42, 602 00 Brno",74.6875
6950,"Pod Hájkem 91, 664 91 Ivančice",174.28571428571428
3958,"Hlavní 2, 664 91 Neslovice",nan
6934,"Slovákova 2, 602 00 Brno",81.0
6935,"Veveří 129, 616 00 Brno",nan
6480,"Ve Vaňkovce 1, 602 00 Brno",nan
6482,"U Dálnice 777, 664 42 Brno-Modřice",nan
6483,"U Dálnice 750, 664 42 Brno-Modřice",nan
5652,"Zelný trh 4, 602 00 Brno",nan
6387,"Hrázní 166/6, 635 00 Brno",88.0
500,"Bohunická 292/2, 619 00 Brno",276.33333333333331
221,"Lidická 18, 602 00 Brno",nan
6977,"Školní 12, 664 41 Troubsko",93.799999999999997
5760,"tř. Kpt. Jaroše 28, 602 00 Brno",74.0
9932,"Údolní 34, 602 00 Brno",74.0
8450,"Kaštanová 70b, 620 00 Brno",95.0
9132,"Kobližná 2, 602 00 Brno",139.0
5536,"Kotlářská 51a, 602 00 Brno",77.75
9366,"Zemědělská 28, 613 00 Brno",89.0
9468,"Havelkova 20, 625 00 Brno",112.0
1859,"Ukrajinská 1, 625 00 Brno",82.0
9228,"Purkyňova 97a, 612 00 Brno",55.25
9156,"Lidická 17, 602 00 Brno",76.0
9016,"Martínkova 7, 602 00 Brno",113.21052631578948
1274,"Veveří 4, 602 00 Brno",nan
137,"Gorkého 54, 602 00 Brno",nan
3956,"Kounická 26, 664 91 Ivančice",nan
3957,"Vémyslice 73, 671 42 Vémyslice",nan
4821,"Ostopovice 68, 664 49 Ostopovice",33.0
5292,"Nám. T.G.M. 9, 669 02 Znojmo",200.0
5445,"Pražská 100, 669 02 Znojmo",nan
6076,"Náměstí svobody 86/17, 602 00 Brno",72.714285714285708
7138,"Petrská 2, 602 00 Brno",nan
7184,"Dobrovského 29, 612 00 Brno",nan
9414,"Bělohorská 61, 636 00 Brno",nan
10166,"Jezuitská 7, 602 00 Brno",140.25
10194,",  ",nan
10196,"Křížkovského 20, 603 00 Brno",nan
8148,"Uhelná 21, 779 00 Olomouc",nan
3979,"Krakovská 14, 779 00 Olomouc",154.94594594594594
4164,"Hulínská 38, 768 23 Břest",74.909090909090907
10374,"Skálovo Nám. 2a, 796 01 Prostějov",nan
1885,"Novosady 18, 751 31 Týn nad Bečvou",96.0
9422,"Polská 1, 779 00 Olomouc",49.636363636363633
8118,"Libušina 49,  Olomouc",nan
8012,"1.máje 10, 772 00 Olomouc",75.75
1555,"Čechova 929/26, 750 00 Přerov",49.600000000000001
2629,"Jeremenkova 103/23, 779 00 Olomouc",88.444444444444443
6718,"Šárka 23, 796 02 Prostějov",82.0
6933,"Koliby 2, 750 02 Přerov",137.78333333333333
1490,"Prostějovská 220, 705 02 Přerov",nan
1533,"Komenského 1406/34, 750 02 Přerov",nan
1541,"Sušilova 1569/38, 750 02 Přerov",75.0
1544,"Dluhonská 77, 750 02 Přerov",nan
7618,"Černotín 159, 753 68 Černotín",104.0
7832,"1.máje 1783, 753 01 Hranice",108.75
7858,"Tř. 1 máje 2063, 753 01 Hranice",57.200000000000003
7894,"Pernštejnské nám. 109, 753 01 Hranice",nan
7918,"Sklenný kopec 1973, 753 01 Hranice",70.666666666666671
8478,"Kateřinská 108/3, 779 00 Olomouc",88.75
8522,"Masarykova třída 3, 779 00 Olomouc",148.14285714285714
8694,"Ztracená 3, 779 00 Olomouc",21.5
8696,"Horní náměstí - radnice, 771 00 Olomouc",nan
8708,"Kafkova 526/21, 783 01 Olomouc, Slavonín",45.5
8802,"Komenského 27, 779 00 Olomouc",nan
8912,"Na Kamenici 55, 783 55 Olomouc - Velký Újezd",88.799999999999997
8932,"Kainarova 13a, 750 02 Přerov",30.0
25,"Beskydská 1146, 739 61 Třinec",114.0
2830,"Dukelská 174, 742 42 Šenov u Nového Jičína",75.0
10522,"Náměstí TGM 403, 739 61 Třinec",109.33333333333333
4416,"Sv.Čecha 47, 741 01 Nový Jičín",73.0
9916,"Nádražní 820, 742 66 Štramberk",75.0
1518,"Slezská 1079, 738 01 Frýdek-místek",nan
9942,"Hlavní třída 9, 737 01 Český Těšín",nan
1749,"Tyršova 6, 701 38 Ostrava",94.0
4869,"Řeka - 47, 739 55 Řeka",103.33333333333333
9830,"nám. Svobody 527, 739 61 Třinec",75.0
6887,"Štefánikova 19, 742 21 Kopřivnice",52.833333333333336
5151,"Fügnerova 877, 735 81 Bohumín",89.0
6623,"Kolejní 3254/2, 702 00 Ostrava",nan
9662,"Slavníkovců 6, 709 00 Ostrava - Mariánské Hory",30.083333333333332
4669,"28. října 149,  Ostrava",75.0
1262,"Frýdecká 21, 736 01 Havířov",82.799999999999997
4756,"Bystřice nad Olší 1020, 739 95 Bystřice nad Olší",80.0
1366,"Malostránská 583, 742 42 Šenov u Nového Jičína",145.0
8710,"Sedliště 373, 739 36 Sedliště",112.57142857142857
8596,"Jiřího Trnky 82, 738 01 Frýdek-Místek",nan
4034,"Hrušovská 15, 701 00 Ostrava",89.0
4036,"Smetanovo náměstí 3260, 702 00 Ostrava",79.0
7354,"Koperníkova 1160, 739 61 Třinec",80.0
3776,"Štramberská 195/21, 742 21 Kopřivnice",nan
2154,"Msgr.Šrámka 19, 741 01 Nový Jičín",74.333333333333329
6945,"Masarykovo náměstí 541/1, 742 21 Kopřivnice",144.28985507246378
3408,"Veřovice 586, 742 73 Veřovice",nan
1656,"ul.Polská 117/8, 734 01 Karviná",nan
6735,"Husova 500/34, 742 21 Kopřivnice",nan
6597,"Heyrovského 1579/1, 708 00 Ostrava Poruba",127.66666666666667
6504,"U Fortny 49/10, 746 01 Opava",55.3125
6546,"Mjr.Nováka 1392/1a, 700 30 Ostrava",55.666666666666664
2843,"Tyršova 824, 739 61 Třinec",195.0
5836,"Sokolovská 1234 /50, 708 00 Ostrava Poruba",70.0
6272,"Sokolská třída 2536/57, 702 00 Ostrava",79.0
3140,"Kunín 1, 742 53 Kunín",73.5
4550,"Ahepjukova 12,  Ostrava",nan
26,"Lyžbice č.17, 739 61 Třinec",61.285714285714285
5829,"Dukelská 107, 742 42 Šenov u Nového Jičína",96.294117647058826
1697,"Bruzovská 1816, 738 01 Frýdek - Místek",nan
364,"Sokolská třída 1944/51, 702 00 Ostrava",99.0
4245,"Ostravská 140, 739 25 Sviadnov",160.07692307692307
5792,"Lhotka 180, 739 47 Lhotka",89.0
2500,"Polní 825, 739 61 Třinec",80.25
29,"Vendryně 880, 739 94 Vendryně",96.340425531914889
1925,"Janáčkovy sady 4, 741 01 Nový Jičín",83.5
3464,"Selská 43, 736 01 Havířov",90.200000000000003
1773,"Jarní 333, 742 21 Kopřivnice",74.25
4714,"č.p. 1217, 739 94 Vendryně",185.0
1051,"Na Poříčí 1183, 738 01 Frýdek Místek",89.0
10674,"Koperníkova 1273, 739 61 Třinec",79.0
6012,"Keltičkova 1297/60, 710 00 Ostrava",nan
4679,"Jablunkovská 382,  Třinec",nan
10086,"FORUM NOVÁ KAROLINA Jantarová 3344/4, 702 00 Ostrava 2",173.28571428571428
10056,"Dlouha třída 860/1a, 736 01 Havířov",56.555555555555557
5129,"Dvořákova 1947/41, 741 01 Nový Jičín",63.470588235294116
4888,"28. října 213, 709 00 Ostrava",56.5
6168,"Pustkovecká 70, 708 00 Ostrava",92.0
6583,"Tyršova 145/26, 702 00 Ostrava",106.83333333333333
5077,"Plzeňská 221/333, 724 00 Ostrava-Stará Bělá",nan
